title,datePerformed,location,featured,videoLink
"mirrorball","2023-03-17","Glendale, AZ",-,-
"Tim McGraw","2023-03-17","Glendale, AZ",-,-
"State of Grace","2023-03-18","Glendale, AZ",-,-
"this is me trying","2023-03-18","Glendale, AZ",-,-
"Our Song","2023-03-24","Las Vegas, NV",-,-
"Snow on the Beach","2023-03-24","Las Vegas, NV",-,-
"cowboy like me","2023-03-25","Las Vegas, NV","Marcus Mumford",-
"White Horse","2023-03-25","Las Vegas, NV",-,-
"Sad Beautiful Tragic","2023-03-31","Arlington, TX",-,-
"Ours","2023-03-31","Arlington, TX",-,-
"Death By a Thousand Cuts","2023-04-01","Arlington, TX",-,-
"Clean","2023-04-01","Arlington, TX",-,-
"Jump Then Fall","2023-04-02","Arlington, TX",-,-
"The Lucky One","2023-04-02","Arlington, TX",-,-
"Speak Now","2023-04-13","Tampa, FL",-,-
"Treacherous","2023-04-13","Tampa, FL",-,-
"The Great War","2023-04-14","Tampa, FL","Aaron Dessner",-
"You're On Your Own, Kid","2023-04-14","Tampa, FL",-,-
"mad woman","2023-04-15","Tampa, FL","Aaron Dessner",-
"Mean","2023-04-15","Tampa, FL",-,-
"Wonderland","2023-04-21","Houston, TX",-,-
"You're Not Sorry","2023-04-21","Houston, TX",-,-
"A Place In This World","2023-04-22","Houston, TX",-,-
"Today Was A Fairytale","2023-04-22","Houston, TX",-,-
"Begin Again","2023-04-23","Houston, TX",-,-
"Cold as You","2023-04-23","Houston, TX",-,-
"The Other Side of the Door","2023-04-28","Atlanta, GA",-,-
"Coney Island","2023-04-28","Atlanta, GA",-,-
"High Infidelity","2023-04-29","Atlanta, GA",-,-
"Gorgeous","2023-04-29","Atlanta, GA",-,-
"I Bet You Think About Me","2023-04-30","Atlanta, GA",-,-
"How You Get The Girl","2023-04-30","Atlanta, GA",-,-
"Sparks Fly","2023-05-05","Nashville, TN",-,-
"Teardrops On My Guitar","2023-05-05","Nashville, TN",-,-
"Out of the Woods","2023-05-06","Nashville, TN",-,-
"Fifteen","2023-05-06","Nashville, TN",-,-
"Would've Could've Should've","2023-05-07","Nashville, TN","Aaron Dessner",-
"Mine","2023-05-07","Nashville, TN",-,-
"gold rush","2023-05-12","Philadelphia, PA",-,-
"Come Back... Be Here","2023-05-12","Philadelphia, PA",-,-
"Forever & Always","2023-05-13","Philadelphia, PA",-,-
"This Love","2023-05-13","Philadelphia, PA",-,-
"Hey Stephen","2023-05-14","Philadelphia, PA",-,-
"The Best Day","2023-05-14","Philadelphia, PA",-,-
"Should've Said No","2023-05-19","Foxborough, MA",-,-
"Better Man","2023-05-19","Foxborough, MA",-,-
"Question...?","2023-05-20","Foxborough, MA",-,-
"Invisible","2023-05-20","Foxborough, MA",-,-
"I Think He Knows","2023-05-21","Foxborough, MA",-,-
"Red","2023-05-21","Foxborough, MA",-,-
"Getaway Car","2023-05-26","East Rutherford, NJ","Jack Antonoff",-
"Maroon","2023-05-26","East Rutherford, NJ",-,-
"Holy Ground","2023-05-27","East Rutherford, NJ",-,-
"False God","2023-05-27","East Rutherford, NJ",-,-
"Welcome To New York","2023-05-28","East Rutherford, NJ",-,-
"Clean","2023-05-28","East Rutherford, NJ",-,-
"I Wish You Would","2023-06-02","Chicago, IL",-,-
"the lakes","2023-06-02","Chicago, IL",-,-
"You All Over Me","2023-06-03","Chicago, IL","Maren Morris",-
"I Don't Wanna Live Forever","2023-06-03","Chicago, IL",-,-
"Hits Different","2023-06-04","Chicago, IL",-,-
"The Moment I Knew","2023-06-04","Chicago, IL",-,-
"Haunted","2023-06-09","Detroit, MI",-,-
"I Almost Do","2023-06-09","Detroit, MI",-,-
"All You Had To Do Was Stay","2023-06-10","Detroit, MI",-,-
"Breathe","2023-06-10","Detroit, MI",-,-
"Mr. Perfectly Fine","2023-06-16","Pittsburgh, PA",-,-
"The Last Time","2023-06-16","Pittsburgh, PA",-,-
"seven","2023-06-17","Pittsburgh, PA","Aaron Dessner",-
"The Story of Us","2023-06-17","Pittsburgh, PA",-,-
"Paper Rings","2023-06-23","Minneapolis, MN",-,-
"If This Was A Movie","2023-06-23","Minneapolis, MN",-,-
"Dear John","2023-06-24","Minneapolis, MN",-,-
"Daylight","2023-06-24","Minneapolis, MN",-,-
"I'm Only Me When I'm With You","2023-06-30","Cincinnati, OH",-,-
"evermore","2023-06-30","Cincinnati, OH",-,-
"ivy","2023-07-01","Cincinnati, OH","Aaron Dessner",-
"I miss you, I’m sorry","2023-07-01","Cincinnati, OH","Gracie Abrams",-
"Call It What You Want","2023-07-01","Cincinnati, OH",-,-
"Never Grow Up","2023-07-07","Kansas City, MO",-,-
"When Emma Falls in Love","2023-07-07","Kansas City, MO",-,-
"Last Kiss","2023-07-08","Kansas City, MO",-,-
"the great war","2023-07-08","Kansas City, MO",-,-
"this is why we can't have nice things","2023-07-09","Kansas City, MO",-,-
"all of the girls you loved before","2023-07-09","Kansas City, MO",-,-
"new year’s day","2023-07-12","Seattle, WA",-,-
"Long Live","2023-07-12","Seattle, WA",-,-
"Safe and Sound","2023-07-13","Seattle, WA",-,-
"Back to December","2023-07-13","Seattle, WA",-,-
"The Lucky One","2023-07-14","Seattle, WA",-,-
"Clean","2023-07-14","Seattle, WA",-,-
"Stay Stay Stay","2023-07-15","Seattle, WA",-,-
"Starlight","2023-07-15","Seattle, WA",-,-
"it's nice to have a friend","2023-07-16","Seattle, WA",-,-
"King of My Heart","2023-07-16","Seattle, WA",-,-
"Call It What You Want","2023-07-19","Vancouver, BC",-,-
"The Story of Us","2023-07-19","Vancouver, BC",-,-
"Mr. Perfectly Fine","2023-07-20","Vancouver, BC",-,-
"Fifteen","2023-07-20","Vancouver, BC",-,-
"Don't Blame Me","2023-07-21","Vancouver, BC",-,-
"Dear John","2023-07-21","Vancouver, BC",-,-
"White Horse","2023-07-22","Vancouver, BC",-,-
"All Too Well","2023-07-22","Vancouver, BC",-,-


Dear Reader,2024-02-07,"Tokyo, Japan",-,-
